id,playlist,videoTitle,youtubeVideoId,aniThumbnailUrl,category,tags,uploadDate,isHero,rating,review
1,촉간트의 삼국지 성지순례,"I almost fainted after eating ""real Mala"" in the capital of Shu from the Romance of the Three Kin...",rtlFCK_Nc28,https://img.youtube.com/vi/rtlFCK_Nc28/hqdefault.jpg,미분류,#폭간트#세계일주#삼국지,2024-02-08,TRUE,0,미작성
2,촉간트의 삼국지 성지순례,"Small Chinese town unknown to Koreans, shocked by hotel and food prices - Three Kingdoms (2)",7tXegFIH1Vw,https://img.youtube.com/vi/7tXegFIH1Vw/hqdefault.jpg,미분류,#폭간트#세계일주#삼국지,2024-02-11,FALSE,0,미작성
3,다이어트 동남아 자전거 여행,"Five meals a day for just 10,000 won?! The ultimate budget-friendly travel destination in an infl...",dgLXQo0xtSk,https://img.youtube.com/vi/dgLXQo0xtSk/hqdefault.jpg,미분류,#폭간트#세계일주,2024-02-14,FALSE,0,미작성
4,다이어트 동남아 자전거 여행,A super-value food tour to a Vietnamese countryside village that only Koreans know about.,lMJH6vTXCpU,https://img.youtube.com/vi/lMJH6vTXCpU/hqdefault.jpg,미분류,#폭간트#세계일주,2024-02-17,FALSE,0,미작성
5,다이어트 동남아 자전거 여행,Stay at a budget-friendly inn in Vietnam's tourist-free countryside.,Fv7QAMjUmik,https://img.youtube.com/vi/Fv7QAMjUmik/hqdefault.jpg,미분류,#폭간트#세계일주,2024-02-20,FALSE,0,미작성
6,다이어트 동남아 자전거 여행,Why a 37-year-old Korean man is so popular in Vietnam,BUfFGFNoClM,https://img.youtube.com/vi/BUfFGFNoClM/hqdefault.jpg,미분류,#폭간트#세계일주,2024-02-23,FALSE,0,미작성
7,다이어트 동남아 자전거 여행,Still going to Da Nang!? A hidden Vietnamese city that only Koreans can see.,7CHYaKQcRbI,https://img.youtube.com/vi/7CHYaKQcRbI/hqdefault.jpg,미분류,#폭간트#세계일주,2024-02-26,FALSE,0,미작성
8,다이어트 동남아 자전거 여행,"China's blockade of waterways... A 20,000-won ""Hell Cruise"" ride",E6qbtpmXAg4,https://img.youtube.com/vi/E6qbtpmXAg4/hqdefault.jpg,미분류,#폭간트#세계일주,2024-02-29,FALSE,0,미작성
9,다이어트 동남아 자전거 여행,아시아 최빈국 물가 실화? 500원으로 배터지게 먹어보기,7tjYm789xic,https://img.youtube.com/vi/7tjYm789xic/hqdefault.jpg,미분류,#폭간트#세계일주,2024-03-03,FALSE,0,미작성
10,다이어트 동남아 자전거 여행,"""Is this China!?"" The current state of the city of the soul, occupied by the Chinese.",F_yfxmVn-Kg,https://img.youtube.com/vi/F_yfxmVn-Kg/hqdefault.jpg,미분류,#폭간트#세계일주,2024-03-06,FALSE,0,미작성
11,다이어트 동남아 자전거 여행,"Why is it so expensive? The reason Laos, once full of Koreans, fell into decline.",Qe3F8nXpXeI,https://img.youtube.com/vi/Qe3F8nXpXeI/hqdefault.jpg,미분류,#폭간트#세계일주,2024-03-09,FALSE,0,미작성
12,다이어트 동남아 자전거 여행,A national debt of 23 trillion won!? This is what happens when you sell your entire country to Ch...,T63KwXgaBCU,https://img.youtube.com/vi/T63KwXgaBCU/hqdefault.jpg,미분류,#폭간트#세계일주,2024-03-12,FALSE,0,미작성
13,다이어트 동남아 자전거 여행,"Thailand's value for money isn't over yet? The birthplace of world-class cuisine, unknown only to...",LmjBG9ZM0Rw,https://img.youtube.com/vi/LmjBG9ZM0Rw/hqdefault.jpg,미분류,#폭간트#세계일주,2024-03-15,FALSE,0,미작성
14,다이어트 동남아 자전거 여행,"Bangkok, Chiang Mai, please stop going 😝 A gourmet city that only locals secretly visit",xhdvZ4PojBE,https://img.youtube.com/vi/xhdvZ4PojBE/hqdefault.jpg,미분류,#폭간트#세계일주,2024-03-18,FALSE,0,미작성
15,다이어트 동남아 자전거 여행,"한국인 0명, 지도에도 없는 태국 시골 축제에 혼자 갔더니...",QeAgrhCeYv8,https://img.youtube.com/vi/QeAgrhCeYv8/hqdefault.jpg,미분류,#폭간트#세계일주#태국,2024-03-21,FALSE,0,미작성
16,다이어트 동남아 자전거 여행,"Thank you so much 👊 Upon completing a 1,650km Southeast Asia bicycle tour, at that night market a...",zH166jHBek0,https://img.youtube.com/vi/zH166jHBek0/hqdefault.jpg,미분류,#폭간트#세계일주,2024-03-24,FALSE,0,미작성
17,다이어트 동남아 자전거 여행,‘단돈 700원’으로 떠나는 낭만의 태국 기차 먹방여행 (feat. 임진왜란의 진실),XaNapnYuxBY,https://img.youtube.com/vi/XaNapnYuxBY/hqdefault.jpg,미분류,#폭간트#세계일주#태국#먹방#기차,2024-03-27,FALSE,0,미작성
18,유라시아 오토바이 여행 시즌1,"7년 다닌 공기업을 퇴사 한 이유, 회사공개 - 유라시아(0)🇰🇷",p5zSr5RxQJs,https://img.youtube.com/vi/p5zSr5RxQJs/hqdefault.jpg,미분류,#폭간트#세계일주#퇴사,2024-03-30,FALSE,0,미작성
19,유라시아 오토바이 여행 시즌1,전쟁으로 물가 폭등!? 하루종일 러시아 현지인과 먹방여행 - 유라시아(1)🇷🇺,Bu4irlF1Acs,https://img.youtube.com/vi/Bu4irlF1Acs/hqdefault.jpg,미분류,#폭간트#세계일주#먹방,2024-04-02,FALSE,0,미작성
20,유라시아 오토바이 여행 시즌1,North Koreans sitting next to me at the bar!? Vlog of confinement in a former Soviet apartment - ...,vneBiGLJtnw,https://img.youtube.com/vi/vneBiGLJtnw/hqdefault.jpg,미분류,#폭간트#세계일주,2024-04-05,FALSE,0,미작성
